year,month,day,max_tmp
2016,02,02,28.800
2016,02,03,31.300
2016,02,04,31.700
2016,02,05,32.500
2016,02,06,31.600
2016,02,07,30.600
2016,02,08,31.600
2016,02,09,31.900
2016,02,10,31.700
2016,02,11,32.200
2016,02,12,31.900
2016,02,13,32.000
2016,02,14,31.600
2016,02,15,32.700
2016,02,16,32.900
2016,02,17,30.400
2016,02,18,31.300
2016,02,19,
2016,02,20,31.600
2016,02,21,31.800
2016,02,22,29.900
2016,02,23,32.500
2016,02,24,32.200
2016,02,25,32.000
2016,02,26,32.700
2016,02,27,31.400
2016,02,28,32.000
2016,02,29,33.200
2016,03,01,
2016,03,02,32.700
2016,03,03,32.100
2016,03,04,32.400
2016,03,05,32.800
2016,03,06,33.000
2016,03,07,32.900
2016,03,08,31.800
2016,03,09,31.900
2016,03,10,32.700
2016,03,11,32.900
2016,03,12,32.000
2016,03,13,32.700
2016,03,14,31.700
2016,03,15,31.900
2016,03,16,30.200
2016,03,17,31.900
2016,03,18,32.100
2016,03,19,31.900
2016,03,20,32.000
2016,03,21,32.800
2016,03,22,32.100
2016,03,23,32.000
2016,03,24,31.800
2016,03,25,32.300
2016,03,26,32.500
2016,03,27,32.000
2016,03,28,31.600
2016,03,29,30.300
2016,03,30,31.000
2016,03,31,28.600
2016,04,01,
2016,04,02,
2016,04,03,30.200
2016,04,04,31.500
2016,04,05,32.000
2016,04,06,31.200
2016,04,07,30.900
2016,04,08,31.700
2016,04,09,31.800
2016,04,10,29.200
2016,04,11,32.000
2016,04,12,31.400
2016,04,13,32.300
2016,04,14,32.700
2016,04,15,32.000
2016,04,16,31.700
2016,04,17,30.200
2016,04,18,32.800
2016,04,19,32.900
2016,04,20,32.400
2016,04,21,29.100
2016,04,22,32.100
2016,04,23,32.600
2016,04,24,31.800
2016,04,25,32.200
2016,04,26,32.300
2016,04,27,32.200
2016,04,28,30.900
2016,04,29,32.100
2016,04,30,32.200
2016,05,01,31.600
2016,05,02,31.800
2016,05,03,31.600
2016,05,04,31.300
2016,05,05,31.600
2016,05,06,32.200
2016,05,07,
2016,05,08,30.800
2016,05,09,32.200
2016,05,10,29.500
2016,05,11,30.500
2016,05,12,31.400
2016,05,13,31.600
2016,05,14,31.400
2016,05,15,31.400
2016,05,16,31.500
2016,05,17,31.200
2016,05,18,31.000
2016,05,19,31.900
2016,05,20,31.400
2016,05,21,31.200
2016,05,22,31.300
2016,05,23,31.300
2016,05,24,31.400
2016,05,25,32.000
2016,05,26,31.300
2016,05,27,31.400
2016,05,28,31.700
2016,05,29,30.800
2016,05,30,30.200
2016,05,31,31.800
2016,06,01,31.600
2016,06,02,31.400
2016,06,03,31.700
2016,06,04,31.800
2016,06,05,31.400
2016,06,06,31.600
2016,06,07,31.500
2016,06,08,31.800
2016,06,09,31.500
2016,06,10,30.600
2016,06,11,31.400
2016,06,12,31.000
2016,06,13,31.400
2016,06,14,31.800
2016,06,15,
2016,06,16,31.800
2016,06,17,
2016,06,18,31.700
2016,06,19,31.800
2016,06,20,
2016,06,21,31.400
2016,06,22,
2016,06,23,31.800
2016,06,24,31.200
2016,06,25,
2016,06,26,31.600
2016,06,27,31.200
2016,06,28,
2016,06,29,
2016,06,30,31.900
2016,07,01,32.300
2016,07,02,
2016,07,03,31.600
2016,07,04,31.900
2016,07,05,28.800
2016,07,06,32.300
2016,07,07,31.400
2016,07,08,30.900
2016,07,09,30.900
2016,07,10,30.600
2016,07,11,
2016,07,12,
2016,07,13,
2016,07,14,
2016,07,15,
2016,07,16,31.500
2016,07,17,30.900
2016,07,18,31.400
2016,07,19,31.600
2016,07,20,
2016,07,21,30.500
2016,07,22,
2016,07,23,
2016,07,24,31.600
2016,07,25,
2016,07,26,32.200
2016,07,27,30.800
2016,07,28,
2016,07,29,
2016,07,30,32.200
2016,07,31,
2016,08,01,31.400
2016,08,02,
2016,08,03,32.500
2016,08,04,32.500
2016,08,05,32.100
2016,08,06,32.600
2016,08,07,31.400
2016,08,08,31.500
2016,08,09,31.700
2016,08,10,31.400
2016,08,11,30.800
2016,08,12,30.700
2016,08,13,30.900
2016,08,14,31.400
2016,08,15,31.800
2016,08,16,31.500
2016,08,17,30.300
2016,08,18,31.300
2016,08,19,31.500
2016,08,20,31.000
2016,08,21,31.500
2016,08,22,31.300
2016,08,23,32.500
2016,08,24,32.000
2016,08,25,
2016,08,26,31.000
2016,08,27,31.200
2016,08,28,31.400
2016,08,29,
2016,08,30,32.500
2016,08,31,32.400
2016,09,01,
2016,09,02,31.900
2016,09,03,32.200
2016,09,04,31.400
2016,09,05,31.500
2016,09,06,31.500
2016,09,07,30.700
2016,09,08,30.700
2016,09,09,32.200
2016,09,10,31.200
2016,09,11,32.000
2016,09,12,31.300
2016,09,13,32.600
2016,09,14,31.600
2016,09,15,32.100
2016,09,16,31.400
2016,09,17,30.900
2016,09,18,31.400
2016,09,19,31.700
2016,09,20,32.200
2016,09,21,31.700
2016,09,22,31.900
2016,09,23,31.800
2016,09,24,30.900
2016,09,25,31.600
2016,09,26,32.000
2016,09,27,32.300
2016,09,28,31.600
2016,09,29,32.600
2016,09,30,31.900
2016,10,01,32.000
2016,10,02,
2016,10,03,
2016,10,04,
2016,10,05,32.200
2016,10,06,31.900
2016,10,07,32.200
2016,10,08,32.600
2016,10,09,
2016,10,10,32.500
2016,10,11,32.600
2016,10,12,31.800
2016,10,13,32.600
2016,10,14,
2016,10,15,
2016,10,16,
2016,10,17,32.600
2016,10,18,31.900
2016,10,19,31.600
2016,10,20,32.600
2016,10,21,31.900
2016,10,22,32.500
2016,10,23,32.400
2016,10,24,31.900
2016,10,25,32.200
2016,10,26,32.000
2016,10,27,32.400
2016,10,28,32.200
2016,10,29,
2016,10,30,32.400
2016,10,31,
2016,11,01,32.800
2016,11,02,
2016,11,03,
2016,11,04,32.400
2016,11,05,32.700
2016,11,06,32.300
2016,11,07,32.400
2016,11,08,31.400
2016,11,09,32.200
2016,11,10,32.200
2016,11,11,32.400
2016,11,12,32.400
2016,11,13,32.000
2016,11,14,32.200
2016,11,15,30.600
2016,11,16,32.100
2016,11,17,32.600
2016,11,18,32.600
2016,11,19,
2016,11,20,32.700
2016,11,21,
2016,11,22,32.900
2016,11,23,32.600
2016,11,24,
2016,11,25,
2016,11,26,32.800
2016,11,27,32.700
2016,11,28,32.400
2016,11,29,32.400
2016,11,30,32.600
2016,12,01,33.000
2016,12,02,32.800
2016,12,03,32.800
2016,12,04,32.400
2016,12,05,32.800
2016,12,06,32.500
2016,12,07,32.800
2016,12,08,32.800
2016,12,09,32.900
2016,12,10,32.600
2016,12,11,32.700
2016,12,12,32.300
2016,12,13,32.000
2016,12,14,31.900
2016,12,15,31.100
2016,12,16,32.400
2016,12,17,30.000
2016,12,18,31.400
2016,12,19,33.000
2016,12,20,32.500
2016,12,21,32.500
2016,12,22,
2016,12,23,32.900
2016,12,24,32.400
2016,12,25,32.200
2016,12,26,33.100
2016,12,27,32.800
2016,12,28,30.200
2016,12,29,32.400
2016,12,30,32.100
2016,12,31,32.800
2017,01,01,32.300
2017,01,02,31.600
2017,01,03,31.000
2017,01,04,32.000
2017,01,05,32.900
2017,01,06,31.600
2017,01,07,29.900
2017,01,08,30.800
2017,01,09,31.600
2017,01,10,
2017,01,11,31.500
2017,01,12,31.400
2017,01,13,31.100
2017,01,14,30.400
2017,01,15,31.500
2017,01,16,32.000
2017,01,17,30.100
2017,01,18,30.600
2017,01,19,30.300
2017,01,20,31.800
2017,01,21,32.100
2017,01,22,32.100
2017,01,23,31.800
