year,month,day,pr
2017,02,12,12.6
2017,02,13,0.0
2017,02,14,6.0
2017,02,15,0.0
2017,02,16,0.0
2017,02,17,12.2
2017,02,18,29.0
2017,02,19,1.8
2017,02,20,14.0
2017,02,21,18.0
2017,02,22,9.0
2017,02,23,0.0
2017,02,24,0.0
2017,02,25,0.0
2017,02,26,26.0
2017,02,27,0.0
2017,02,28,16.0
2017,03,01,2.0
2017,03,02,42.4
2017,03,03,7.4
2017,03,04,48.0
2017,03,05,6.8
2017,03,06,5.6
2017,03,07,0.0
2017,03,08,8.4
2017,03,09,110.0
2017,03,10,27.0
2017,03,11,9.2
2017,03,12,1.4
2017,03,13,2.0
2017,03,14,0.0
2017,03,15,0.0
2017,03,16,6.6
2017,03,17,50.0
2017,03,18,0.0
2017,03,19,0.0
2017,03,20,5.0
2017,03,21,18.2
2017,03,22,4.4
2017,03,23,29.0
2017,03,24,
2017,03,25,
2017,03,26,0.0
2017,03,27,18.0
2017,03,28,25.2
2017,03,29,0.0
2017,03,30,0.0
2017,03,31,23.0
2017,04,01,20.0
2017,04,02,55.0
2017,04,03,0.0
2017,04,04,27.0
2017,04,05,18.0
2017,04,06,10.0
2017,04,07,0.0
2017,04,08,0.0
2017,04,09,0.0
2017,04,10,31.0
2017,04,11,57.0
2017,04,12,28.0
2017,04,13,38.2
2017,04,14,0.0
2017,04,15,11.0
2017,04,16,0.0
2017,04,17,2.0
2017,04,18,0.0
2017,04,19,2.2
2017,04,20,0.0
2017,04,21,0.0
2017,04,22,9.0
2017,04,23,0.0
2017,04,24,36.0
2017,04,25,0.0
2017,04,26,6.0
2017,04,27,4.4
2017,04,28,7.6
2017,04,29,6.0
2017,04,30,17.0
2017,05,01,0.0
2017,05,02,9.0
2017,05,03,0.0
2017,05,04,0.0
2017,05,05,5.0
2017,05,06,0.0
2017,05,07,0.0
2017,05,08,22.2
2017,05,09,13.0
2017,05,10,0.0
2017,05,11,0.0
2017,05,12,3.2
2017,05,13,0.0
2017,05,14,0.0
2017,05,15,0.0
2017,05,16,0.0
2017,05,17,0.0
2017,05,18,4.2
2017,05,19,0.0
2017,05,20,5.4
2017,05,21,0.0
2017,05,22,0.0
2017,05,23,0.0
2017,05,24,0.0
2017,05,25,0.0
2017,05,26,2.0
2017,05,27,0.0
2017,05,28,47.0
2017,05,29,14.0
2017,05,30,8.0
2017,05,31,0.0
2017,06,01,0.0
2017,06,02,0.0
2017,06,03,0.0
2017,06,04,0.0
2017,06,05,18.0
2017,06,06,0.0
2017,06,07,0.0
2017,06,08,0.0
2017,06,09,0.0
2017,06,10,0.0
2017,06,11,0.0
2017,06,12,18.4
2017,06,13,0.0
2017,06,14,0.0
2017,06,15,0.0
2017,06,16,0.0
2017,06,17,0.0
2017,06,18,0.0
2017,06,19,0.0
2017,06,20,0.0
2017,06,21,0.0
2017,06,22,0.0
2017,06,23,0.0
