dia,x,y
2017-11-05,419,279
2017-11-06,571,249
2017-11-07,637,289
2017-11-08,679,282
2017-11-09,654,292
2017-11-10,561,276
2017-11-11,436,233
2017-11-12,378,302
2017-11-13,479,225
2017-11-14,604,277
2017-11-15,494,324
2017-11-16,565,227
2017-11-17,561,263
2017-11-18,483,211
2017-11-19,402,231
2017-11-20,530,242
2017-11-21,626,261
2017-11-22,637,264
2017-11-23,621,266
2017-11-24,572,251
2017-11-25,463,215
2017-11-26,423,263
2017-11-27,485,211
2017-11-28,514,240
2017-11-29,487,215
2017-11-30,491,204
2017-12-01,477,223
2017-12-02,344,170
2017-12-03,273,214
2017-12-04,425,193
2017-12-05,557,238
2017-12-06,541,241
2017-12-07,578,226
2017-12-08,479,231
2017-12-09,453,234
2017-12-10,343,202
2017-12-11,479,261
2017-12-12,521,271
2017-12-13,481,195
2017-12-14,559,239
2017-12-15,473,185
2017-12-16,351,151
2017-12-17,339,182
2017-12-18,437,184
2017-12-19,242,85
2017-12-20,240,106
2017-12-21,337,104
2017-12-22,299,102
2017-12-23,258,100
2017-12-24,210,82
2017-12-25,214,123
2017-12-26,333,181
2017-12-27,392,195
2017-12-28,450,237
2017-12-29,482,245
2017-12-30,396,225
2017-12-31,234,111
