F_0,M_0,O_0,dia
31.10355997920998,26.44173446447508,5.225333333333333,2015-10-19
29.68809562146893,24.999037375948625,19.12395,2015-10-20
33.997647178988316,23.559450310945273,43.12671666666667,2015-10-21
29.55711506802721,22.58298209641611,96.72726666666667,2015-10-22
30.09446490514905,23.34914500475737,37.77795,2015-10-23
38.0208751948052,38.28779345645235,21.322025,2015-10-24
49.121349118316274,41.24954980569948,0.0,2015-10-25
26.541261815661816,25.42665162991371,0.0,2015-10-26
26.64233818737271,24.420352138254245,0.0,2015-10-27
31.41141812144212,21.78832691851852,20.3182,2015-10-28
28.437934970530456,23.974839206642066,0.0,2015-10-29
37.95074851132686,29.11553815748522,0.0,2015-10-30
37.48579045671438,33.65070328582739,27.743566666666666,2015-10-31
54.492897986369265,47.947533830171636,10.306591666666668,2015-11-01
45.358253421309875,40.20511830453564,0.0,2015-11-02
30.06729687677456,24.709527054398148,0.0,2015-11-03
26.936456,22.97364951495554,38.051383333333334,2015-11-04
27.534729380664654,23.75346923360354,0.0,2015-11-05
34.4423051884058,25.524551069730585,0.0,2015-11-06
41.14872268211921,30.09459157160963,20.297358333333335,2015-11-07
47.42210689910979,45.244917600732606,30.517166666666668,2015-11-08
27.394987438905183,24.952764820592822,28.752766666666666,2015-11-09
33.1090560947023,25.19344443296602,19.90814166666667,2015-11-10
30.572874890510953,26.49568034321373,0.0,2015-11-11
29.595201430429125,24.330869593285986,38.301383333333334,2015-11-12
29.236609665052463,24.76566466216216,0.0,2015-11-13
34.313644972347916,28.538555914441574,20.308775,2015-11-14
44.77688895705521,40.54696727302524,0.0,2015-11-15
26.6448852425876,24.86787112200436,12.089594444444444,2015-11-16
29.43864549878345,25.114804254190542,9.4515,2015-11-17
29.339274861995754,27.47363824572382,6.902383333333334,2015-11-18
32.839641894127375,23.41782057160804,0.0,2015-11-19
30.46190600441501,25.02507049180328,0.0,2015-11-20
32.49851778385773,30.521143732071142,20.744944444444442,2015-11-21
49.782876959459465,41.67652462394705,33.5635,2015-11-22
30.16691106286187,25.595998805749314,0.0,2015-11-23
28.78691783088235,25.931785180930497,46.28245,2015-11-24
29.34159091600152,25.01929795771757,45.922783333333335,2015-11-25
25.532688682071033,24.080895499707772,0.0,2015-11-26
28.045799500998,24.451645441237975,0.0,2015-11-27
36.038028352864586,26.15346686178862,0.0,2015-11-28
45.3335968159204,39.065085714285715,19.65755,2015-11-29
29.914242225262196,23.005748861944266,5.01,2015-11-30
30.535617082294262,24.842570261044177,0.0,2015-12-01
29.703626016260163,25.20118510841837,0.0,2015-12-02
26.24519419703104,24.376213574097136,0.0,2015-12-03
28.904221100917432,25.978284692982452,0.0,2015-12-04
31.33721885154062,27.15440654539801,54.95783333333333,2015-12-05
