dia,M_0,F_0,O_0,M_3,F_3,O_3,M_4,F_4,O_4,num_of_stations
2015-06-16,1060,540,1.0,155,68,1.0,0.0,2.0,0.0,40.0
2015-06-17,1139,580,0.0,125,80,0.0,0.0,0.0,0.0,40.0
2015-06-18,1162,579,3.0,165,49,2.0,0.0,0.0,0.0,40.0
2015-06-19,1188,518,0.0,203,80,0.0,0.0,0.0,0.0,40.0
2015-06-20,856,562,3.0,131,58,0.0,1.0,1.0,0.0,40.0
2015-06-21,921,709,2.0,115,91,1.0,0.0,0.0,0.0,40.0
2015-06-22,1069,510,0.0,130,50,0.0,0.0,0.0,0.0,40.0
2015-06-23,1272,619,0.0,158,62,0.0,1.0,0.0,0.0,40.0
2015-06-24,1232,600,0.0,177,74,0.0,0.0,0.0,0.0,40.0
2015-06-25,963,449,0.0,111,50,0.0,0.0,0.0,0.0,40.0
2015-06-26,1195,493,0.0,116,56,0.0,1.0,0.0,0.0,40.0
2015-06-27,858,468,5.0,108,37,0.0,0.0,0.0,0.0,40.0
2015-06-28,849,653,4.0,86,57,0.0,1.0,1.0,0.0,40.0
2015-06-29,1140,580,0.0,142,64,0.0,0.0,0.0,0.0,40.0
2015-06-30,1098,566,2.0,138,73,0.0,11.0,5.0,0.0,40.0
2015-07-01,1161,594,0.0,169,76,1.0,2.0,1.0,0.0,40.0
2015-07-02,1133,548,7.0,188,75,0.0,2.0,2.0,0.0,40.0
2015-07-03,973,468,3.0,137,53,0.0,0.0,2.0,0.0,40.0
2015-07-04,758,425,2.0,124,57,1.0,0.0,1.0,0.0,40.0
2015-07-05,475,279,1.0,79,37,0.0,0.0,1.0,0.0,40.0
2015-07-06,1027,525,0.0,196,88,0.0,0.0,0.0,0.0,40.0
2015-07-07,1253,618,2.0,213,89,1.0,1.0,0.0,0.0,40.0
2015-07-08,1109,565,0.0,182,88,0.0,0.0,0.0,0.0,40.0
2015-07-09,1137,543,2.0,182,93,0.0,0.0,0.0,0.0,40.0
2015-07-10,1006,476,1.0,130,64,2.0,0.0,0.0,0.0,40.0
2015-07-11,822,497,1.0,102,39,0.0,0.0,0.0,0.0,40.0
2015-07-12,795,703,5.0,104,61,0.0,1.0,0.0,0.0,40.0
2015-07-13,1036,572,1.0,83,49,0.0,0.0,0.0,0.0,40.0
2015-07-14,1197,685,3.0,119,59,2.0,1.0,0.0,0.0,40.0
2015-07-15,1187,622,1.0,154,72,0.0,0.0,0.0,0.0,40.0
2015-07-16,1051,557,3.0,126,54,1.0,1.0,0.0,0.0,40.0
2015-07-17,838,431,0.0,112,43,0.0,0.0,1.0,0.0,40.0
2015-07-18,787,505,7.0,119,54,1.0,0.0,1.0,0.0,40.0
2015-07-19,821,671,2.0,74,45,0.0,0.0,0.0,0.0,40.0
2015-07-20,1020,528,2.0,106,69,0.0,1.0,1.0,0.0,40.0
2015-07-21,1054,576,1.0,122,54,0.0,0.0,0.0,0.0,40.0
2015-07-22,1031,566,1.0,110,59,0.0,0.0,1.0,0.0,40.0
2015-07-23,958,552,1.0,116,60,0.0,0.0,0.0,0.0,40.0
2015-07-24,997,522,1.0,121,77,0.0,0.0,0.0,0.0,40.0
2015-07-25,776,507,1.0,116,52,0.0,0.0,0.0,0.0,40.0
2015-07-26,777,574,3.0,92,66,0.0,0.0,0.0,0.0,40.0
2015-07-27,1026,505,1.0,120,44,0.0,0.0,0.0,0.0,40.0
2015-07-28,1061,494,0.0,118,44,0.0,0.0,0.0,0.0,40.0
2015-07-29,1113,553,5.0,133,60,0.0,0.0,0.0,0.0,40.0
2015-07-30,1121,541,0.0,105,41,0.0,0.0,0.0,0.0,40.0
2015-07-31,1036,506,0.0,116,56,0.0,0.0,0.0,0.0,40.0
2015-08-01,757,508,3.0,95,52,0.0,0.0,0.0,0.0,40.0
2015-08-02,696,549,2.0,92,74,1.0,0.0,0.0,0.0,40.0
2015-08-03,999,470,1.0,107,45,0.0,0.0,0.0,0.0,40.0
2015-08-04,1127,463,0.0,128,49,0.0,0.0,0.0,0.0,40.0
2015-08-05,1152,541,0.0,146,56,0.0,0.0,0.0,0.0,40.0
2015-08-06,1055,542,0.0,134,67,0.0,0.0,0.0,0.0,40.0
2015-08-07,1067,447,1.0,130,66,0.0,0.0,0.0,0.0,40.0
2015-08-08,725,436,8.0,91,62,1.0,0.0,0.0,0.0,40.0
2015-08-09,724,531,0.0,86,53,0.0,0.0,1.0,0.0,40.0
2015-08-10,1127,505,0.0,110,47,0.0,0.0,0.0,0.0,40.0
2015-08-11,1085,500,1.0,103,48,2.0,1.0,0.0,0.0,40.0
2015-08-12,1090,489,1.0,115,55,0.0,0.0,0.0,0.0,40.0
2015-08-13,1098,488,1.0,116,40,0.0,0.0,0.0,0.0,40.0
2015-08-14,1075,502,0.0,108,40,0.0,0.0,0.0,0.0,40.0
2015-08-15,729,487,4.0,92,63,0.0,0.0,1.0,0.0,40.0
2015-08-16,836,619,2.0,90,42,0.0,0.0,0.0,0.0,40.0
2015-08-17,901,403,0.0,93,64,0.0,0.0,0.0,0.0,40.0
2015-08-18,1154,570,0.0,129,51,0.0,0.0,0.0,0.0,40.0
2015-08-19,1113,573,1.0,125,51,0.0,1.0,1.0,0.0,40.0
2015-08-20,1150,524,1.0,142,49,0.0,0.0,0.0,0.0,40.0
2015-08-21,1137,543,1.0,144,64,0.0,0.0,0.0,0.0,40.0
2015-08-22,715,444,3.0,69,39,0.0,0.0,0.0,0.0,40.0
2015-08-23,765,632,2.0,78,70,0.0,0.0,0.0,0.0,40.0
2015-08-24,1079,482,0.0,123,71,0.0,0.0,0.0,0.0,40.0
2015-08-25,1171,576,2.0,113,63,0.0,0.0,0.0,0.0,40.0
2015-08-26,1144,580,1.0,132,57,0.0,0.0,0.0,0.0,40.0
2015-08-27,1183,521,0.0,164,84,0.0,0.0,0.0,0.0,40.0
2015-08-28,1026,521,0.0,127,58,0.0,0.0,0.0,0.0,40.0
2015-08-29,780,422,1.0,109,54,0.0,0.0,0.0,0.0,40.0
2015-08-30,847,615,1.0,132,67,0.0,0.0,0.0,0.0,40.0
2015-08-31,279,128,1.0,71,26,0.0,24.0,14.0,0.0,40.0
2015-09-01,530,261,1.0,79,48,0.0,0.0,0.0,0.0,40.0
2015-09-02,985,445,2.0,123,35,0.0,0.0,1.0,0.0,40.0
2015-09-03,1065,493,2.0,97,61,0.0,1.0,0.0,0.0,40.0
2015-09-04,970,475,2.0,122,48,0.0,0.0,0.0,0.0,40.0
2015-09-05,713,419,1.0,77,54,0.0,0.0,1.0,0.0,40.0
2015-09-06,727,635,3.0,88,73,0.0,0.0,0.0,0.0,40.0
2015-09-07,714,490,3.0,64,41,2.0,1.0,0.0,0.0,40.0
